date,open,high,low,close,volume,foreign_ownership,code,name,daily_return,event_day,cumulative_return,benchmark_return,abnormal_return,cumulative_abnormal_return,asset,case
2021-11-22,2983.38,3018.01,2980.73,3013.25,530959.0,0.0,KOSPI,KOSPI,0.014213973652146494,-47,0.15251922937169393,0.014213973652146494,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-23,3013.16,3016.36,2992.14,2997.33,524233.0,0.0,KOSPI,KOSPI,-0.005283331950551751,-46,0.14643008770352917,-0.005283331950551751,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-24,3006.34,3017.9,2981.02,2994.29,556640.0,0.0,KOSPI,KOSPI,-0.0010142360033763564,-45,0.14526733703322647,-0.0010142360033763564,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-25,2996.74,2996.74,2973.24,2980.27,595969.0,0.0,KOSPI,KOSPI,-0.004682245206710123,-44,0.139904914534001,-0.004682245206710123,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-26,2973.04,2985.77,2930.31,2936.44,595597.0,0.0,KOSPI,KOSPI,-0.01470672120311245,-43,0.1231406507578916,-0.01470672120311245,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-29,2906.15,2930.22,2890.78,2909.32,844400.0,0.0,KOSPI,KOSPI,-0.009235673128005328,-42,0.1127676908307167,-0.009235673128005328,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-11-30,2932.71,2942.93,2822.73,2839.01,983556.0,0.0,KOSPI,KOSPI,-0.024167159336202282,-41,0.08587525674223295,-0.024167159336202282,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-01,2860.12,2905.74,2837.03,2899.72,563927.0,0.0,KOSPI,KOSPI,0.021384214919989653,-40,0.10909584660870775,0.021384214919989653,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-02,2874.64,2945.27,2874.64,2945.27,534461.0,0.0,KOSPI,KOSPI,0.015708413226104723,-39,0.12651798247459367,0.015708413226104723,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-03,2935.93,2975.44,2927.55,2968.33,486749.0,0.0,KOSPI,KOSPI,0.007829502897866769,-38,0.13533805828287737,0.007829502897866769,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-06,2954.82,2983.5,2932.49,2973.25,479907.0,0.0,KOSPI,KOSPI,0.001657497650193962,-37,0.13721987844665695,0.001657497650193962,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-07,2973.84,2992.31,2960.9,2991.72,541370.0,0.0,KOSPI,KOSPI,0.006212057512822611,-36,0.14428435373629278,0.006212057512822611,0.0,0.0,KOSPI,LG Energy Solution IPO
